Common Name,Family,Specific Epithet,Hostplant Family,Hostplant Name,Country,Source
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Lupinus,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Lupinus,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Melilotus,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Pisum,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Pisum,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Pisum sativum,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Pisum sativum,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Pisum sativum,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Vigna sinensis,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (p),Vigna unguiculata,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (m),Xylia xylocarpa,India,HOSTS
Pea Blue,Lycaenidae,Lampides boeticus,Leguminosae (m),Xylia xylocarpa,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae,,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (m),Acacia,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (m),Albizia,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (m),Albizia procera,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (c),Caesalpinia,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (c),Cassia,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (c),Cassia,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (c),Cassia,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (c),Moullava,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (c),Moullava,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (m),Pithecellobium dulce,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (c),Senna obtusifolia,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania bispinosa,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania bispinosa,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania bispinosa,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania grandiflora,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania grandiflora,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania sesban,India,HOSTS
Common Grass Yellow,Pieridae,Eurema hecabe,Leguminosae (p),Sesbania sesban,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Andropogon sorghum,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Bambusa,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Digitaria,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Oryza,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Oryza sativa,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Panicum repens,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Pennisetum,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Pennisetum americanum,India,HOSTS
