Common.Name,Family,Specific.Epithet,Guild,Hostplant.Family,Hostplant.Name,Country,Source
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Cleome rutidosperma,Philippines,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Cleome viscosa,Andaman Islands,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Cleome viscosa,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Crateva adansonii,Taiwan,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Crateva religiosa,India,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Capparaceae,Crateva religiosa,West Malaysia,HOSTS
Psyche,Pieridae,Leptosia nina,Shrub Specialist,Rhamnaceae,Rhamnus parvifolia,Taiwan,HOSTS
Spotted Flat,Hesperiidae,Celaenorrhinus ambareesa,Herb Specialist,Acanthaceae,Strobilanthes callosus,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,,Andaman Islands,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Flacourtia,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Flacourtia,West Malaysia,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Flacourtia,West Malaysia,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Flacourtia montana,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Flacourtia ramontchii,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Flacourtia rukam,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Euphorbiaceae,Glochidion eriocarpum,India,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Homalium cochinchinensis,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Sapindaceae,Lepisanthes rubiginosum,West Malaysia,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Sapindaceae,Lepisanthes rubiginosum,West Malaysia,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Rosaceae,Photinia benthamiana ?,Oriental,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Salicaceae,Salix babylonica,Taiwan,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Salicaceae,Salix babylonica,Taiwan,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Scolopia chinensis,China,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Scolopia chinensis,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Scolopia crenata,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Scolopia oldhami,Taiwan,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Scolopia oldhami,Taiwan,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Scolopia saeva,Hong Kong,HOSTS
Rustic,Nymphalidae,Cupha erymanthis,Tree Specialist,Flacourtiaceae,Xylosma racemosa,China,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Calotropis,Oriental,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Ceropegia,Andaman Islands,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Cryptolepis buchanani,Oriental,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Cynanchum lanhsuense,Taiwan,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Tylophora flexuosa,Oriental,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Tylophora flexuosa,West Malaysia,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Tylophora ovata,Hong Kong,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Tylophora ovata,Oriental,HOSTS
Glassy Tiger,Nymphalidae,Parantica aglea,Shrub Specialist,Asclepiadaceae,Tylophora ovata,Taiwan,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Myrtaceae,,Indo-Australian,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Sapindaceae,,Indo-Australian,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Combretaceae,,Indo-Australian,HOSTS
Common Line Blue,Lycaenidae,Prosotas nora,Generalist,Leguminosae,,Indo-Australian,HOSTS
